iShares Core S&P 500 ETF
Fund Holdings as of,"Jan 21, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,100,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","57,297,411,195.80","7.57","57,297,411,195.80","312,554,065.00","183.32","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","47,067,881,035.50","6.22","47,067,881,035.50","190,058,070.00","247.65","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","42,455,783,519.50","5.61","42,455,783,519.50","95,597,450.00","444.11","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","28,942,846,716.21","3.82","28,942,846,716.21","125,125,791.00","231.31","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","24,573,655,942.68","3.25","24,573,655,942.68","74,832,986.00","328.38","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","19,971,461,932.80","2.64","19,971,461,932.80","60,740,456.00","328.80","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","19,640,427,174.42","2.59","19,640,427,174.42","59,810,059.00","328.38","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","17,170,613,103.36","2.27","17,170,613,103.36","28,012,616.00","612.96","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","15,593,276,193.12","2.06","15,593,276,193.12","36,142,398.00","431.44","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","11,411,678,245.56","1.51","11,411,678,245.56","23,586,132.00","483.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","11,016,352,720.48","1.46","11,016,352,720.48","10,214,324.00","1,078.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","10,575,801,930.96","1.40","10,575,801,930.96","35,014,574.00","302.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","7,247,344,700.52","0.96","7,247,344,700.52","54,242,532.00","133.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","7,060,790,180.96","0.93","7,060,790,180.96","21,706,807.00","325.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","6,755,931,728.91","0.89","6,755,931,728.91","30,989,091.00","218.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","6,732,163,608.00","0.89","6,732,163,608.00","56,402,175.00","119.36","United States","NASDAQ","USD","1.00","USD","-"
